grupo,fundo,nome_curto,cnpj,competencia,indicador,valor,unidade,observacao,cache_folder
Consignado Delta,CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,CONSIGNADO DELTA RECEIVABLES I,54.871.427/0001-94,09/2024,Vencidos Over 90 d (R$ MM),0.0,R$ MM,Visão Executiva canônica; cache IME local 926155596bb583065791a4ac4d39084c461462330c4263427b811e0d6362b0a8,.cache/fundonet-ime/926155596bb583065791a4ac4d39084c461462330c4263427b811e0d6362b0a8
Consignado Delta,CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,CONSIGNADO DELTA RECEIVABLES I,54.871.427/0001-94,08/2024,Vencidos Over 90 d (R$ MM),0.0,R$ MM,Visão Executiva canônica; cache IME local 926155596bb583065791a4ac4d39084c461462330c4263427b811e0d6362b0a8,.cache/fundonet-ime/926155596bb583065791a4ac4d39084c461462330c4263427b811e0d6362b0a8
Consignado Delta,CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,CONSIGNADO DELTA RECEIVABLES I,54.871.427/0001-94,07/2024,Vencidos Over 90 d (R$ MM),0.0,R$ MM,Visão Executiva canônica; cache IME local 926155596bb583065791a4ac4d39084c461462330c4263427b811e0d6362b0a8,.cache/fundonet-ime/926155596bb583065791a4ac4d39084c461462330c4263427b811e0d6362b0a8
Consignado Delta,CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,CONSIGNADO DELTA RECEIVABLES I,54.871.427/0001-94,06/2024,Vencidos Over 90 d (R$ MM),0.0,R$ MM,Visão Executiva canônica; cache IME local 926155596bb583065791a4ac4d39084c461462330c4263427b811e0d6362b0a8,.cache/fundonet-ime/926155596bb583065791a4ac4d39084c461462330c4263427b811e0d6362b0a8
Consignado Delta,CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,CONSIGNADO DELTA RECEIVABLES I,54.871.427/0001-94,02/2025,Vencidos Over 90 d (R$ MM),0.0,R$ MM,Visão Executiva canônica; cache IME local 926155596bb583065791a4ac4d39084c461462330c4263427b811e0d6362b0a8,.cache/fundonet-ime/926155596bb583065791a4ac4d39084c461462330c4263427b811e0d6362b0a8
Consignado Delta,CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,CONSIGNADO DELTA RECEIVABLES I,54.871.427/0001-94,08/2025,Vencidos Over 30 d / Crédito,0.0,ratio,Visão Executiva canônica; cache IME local 926155596bb583065791a4ac4d39084c461462330c4263427b811e0d6362b0a8,.cache/fundonet-ime/926155596bb583065791a4ac4d39084c461462330c4263427b811e0d6362b0a8
Consignado Delta,CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,CONSIGNADO DELTA RECEIVABLES I,54.871.427/0001-94,01/2026,Vencidos Over 90 d (R$ MM),0.0,R$ MM,Visão Executiva canônica; cache IME local 926155596bb583065791a4ac4d39084c461462330c4263427b811e0d6362b0a8,.cache/fundonet-ime/926155596bb583065791a4ac4d39084c461462330c4263427b811e0d6362b0a8
Consignado Delta,CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,CONSIGNADO DELTA RECEIVABLES I,54.871.427/0001-94,03/2026,Vencidos Over 90 d (R$ MM),0.01944182,R$ MM,Visão Executiva canônica; cache IME local 926155596bb583065791a4ac4d39084c461462330c4263427b811e0d6362b0a8,.cache/fundonet-ime/926155596bb583065791a4ac4d39084c461462330c4263427b811e0d6362b0a8
Consignado Delta,CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,CONSIGNADO DELTA RECEIVABLES I,54.871.427/0001-94,10/2025,Vencidos Over 60 d / Crédito,0.0,ratio,Visão Executiva canônica; cache IME local 926155596bb583065791a4ac4d39084c461462330c4263427b811e0d6362b0a8,.cache/fundonet-ime/926155596bb583065791a4ac4d39084c461462330c4263427b811e0d6362b0a8
Consignado Delta,CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,CONSIGNADO DELTA RECEIVABLES I,54.871.427/0001-94,09/2025,Vencidos Over 60 d / Crédito,0.0,ratio,Visão Executiva canônica; cache IME local 926155596bb583065791a4ac4d39084c461462330c4263427b811e0d6362b0a8,.cache/fundonet-ime/926155596bb583065791a4ac4d39084c461462330c4263427b811e0d6362b0a8
Consignado Delta,CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,CONSIGNADO DELTA RECEIVABLES I,54.871.427/0001-94,08/2025,Vencidos Over 60 d / Crédito,0.0,ratio,Visão Executiva canônica; cache IME local 926155596bb583065791a4ac4d39084c461462330c4263427b811e0d6362b0a8,.cache/fundonet-ime/926155596bb583065791a4ac4d39084c461462330c4263427b811e0d6362b0a8
Consignado Delta,CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,CONSIGNADO DELTA RECEIVABLES I,54.871.427/0001-94,07/2025,Vencidos Over 60 d / Crédito,0.0,ratio,Visão Executiva canônica; cache IME local 926155596bb583065791a4ac4d39084c461462330c4263427b811e0d6362b0a8,.cache/fundonet-ime/926155596bb583065791a4ac4d39084c461462330c4263427b811e0d6362b0a8
Consignado Delta,CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,CONSIGNADO DELTA RECEIVABLES I,54.871.427/0001-94,06/2025,Vencidos Over 60 d / Crédito,0.0,ratio,Visão Executiva canônica; cache IME local 926155596bb583065791a4ac4d39084c461462330c4263427b811e0d6362b0a8,.cache/fundonet-ime/926155596bb583065791a4ac4d39084c461462330c4263427b811e0d6362b0a8
Consignado Delta,CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,CONSIGNADO DELTA RECEIVABLES I,54.871.427/0001-94,05/2025,Vencidos Over 60 d / Crédito,0.0,ratio,Visão Executiva canônica; cache IME local 926155596bb583065791a4ac4d39084c461462330c4263427b811e0d6362b0a8,.cache/fundonet-ime/926155596bb583065791a4ac4d39084c461462330c4263427b811e0d6362b0a8
Consignado Delta,CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,CONSIGNADO DELTA RECEIVABLES I,54.871.427/0001-94,04/2025,Vencidos Over 60 d / Crédito,0.0,ratio,Visão Executiva canônica; cache IME local 926155596bb583065791a4ac4d39084c461462330c4263427b811e0d6362b0a8,.cache/fundonet-ime/926155596bb583065791a4ac4d39084c461462330c4263427b811e0d6362b0a8
Consignado Delta,CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,CONSIGNADO DELTA RECEIVABLES I,54.871.427/0001-94,03/2025,Vencidos Over 60 d / Crédito,0.0,ratio,Visão Executiva canônica; cache IME local 926155596bb583065791a4ac4d39084c461462330c4263427b811e0d6362b0a8,.cache/fundonet-ime/926155596bb583065791a4ac4d39084c461462330c4263427b811e0d6362b0a8
Consignado Delta,CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,CONSIGNADO DELTA RECEIVABLES I,54.871.427/0001-94,02/2026,Vencidos Over 90 d (R$ MM),0.01944182,R$ MM,Visão Executiva canônica; cache IME local 926155596bb583065791a4ac4d39084c461462330c4263427b811e0d6362b0a8,.cache/fundonet-ime/926155596bb583065791a4ac4d39084c461462330c4263427b811e0d6362b0a8
Consignado Delta,CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,CONSIGNADO DELTA RECEIVABLES I,54.871.427/0001-94,02/2025,Vencidos Over 60 d / Crédito,0.0,ratio,Visão Executiva canônica; cache IME local 926155596bb583065791a4ac4d39084c461462330c4263427b811e0d6362b0a8,.cache/fundonet-ime/926155596bb583065791a4ac4d39084c461462330c4263427b811e0d6362b0a8
Consignado Delta,CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,CONSIGNADO DELTA RECEIVABLES I,54.871.427/0001-94,12/2024,Vencidos Over 60 d / Crédito,0.0,ratio,Visão Executiva canônica; cache IME local 926155596bb583065791a4ac4d39084c461462330c4263427b811e0d6362b0a8,.cache/fundonet-ime/926155596bb583065791a4ac4d39084c461462330c4263427b811e0d6362b0a8
Consignado Delta,CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,CONSIGNADO DELTA RECEIVABLES I,54.871.427/0001-94,11/2024,Vencidos Over 60 d / Crédito,0.0,ratio,Visão Executiva canônica; cache IME local 926155596bb583065791a4ac4d39084c461462330c4263427b811e0d6362b0a8,.cache/fundonet-ime/926155596bb583065791a4ac4d39084c461462330c4263427b811e0d6362b0a8
Consignado Delta,CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,CONSIGNADO DELTA RECEIVABLES I,54.871.427/0001-94,10/2024,Vencidos Over 60 d / Crédito,0.0,ratio,Visão Executiva canônica; cache IME local 926155596bb583065791a4ac4d39084c461462330c4263427b811e0d6362b0a8,.cache/fundonet-ime/926155596bb583065791a4ac4d39084c461462330c4263427b811e0d6362b0a8
Consignado Delta,CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,CONSIGNADO DELTA RECEIVABLES I,54.871.427/0001-94,09/2024,Vencidos Over 60 d / Crédito,0.0,ratio,Visão Executiva canônica; cache IME local 926155596bb583065791a4ac4d39084c461462330c4263427b811e0d6362b0a8,.cache/fundonet-ime/926155596bb583065791a4ac4d39084c461462330c4263427b811e0d6362b0a8
Consignado Delta,CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,CONSIGNADO DELTA RECEIVABLES I,54.871.427/0001-94,08/2024,Vencidos Over 60 d / Crédito,0.0,ratio,Visão Executiva canônica; cache IME local 926155596bb583065791a4ac4d39084c461462330c4263427b811e0d6362b0a8,.cache/fundonet-ime/926155596bb583065791a4ac4d39084c461462330c4263427b811e0d6362b0a8
Consignado Delta,CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,CONSIGNADO DELTA RECEIVABLES I,54.871.427/0001-94,07/2024,Vencidos Over 60 d / Crédito,0.0,ratio,Visão Executiva canônica; cache IME local 926155596bb583065791a4ac4d39084c461462330c4263427b811e0d6362b0a8,.cache/fundonet-ime/926155596bb583065791a4ac4d39084c461462330c4263427b811e0d6362b0a8
Consignado Delta,CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,CONSIGNADO DELTA RECEIVABLES I,54.871.427/0001-94,06/2024,Vencidos Over 60 d / Crédito,0.0,ratio,Visão Executiva canônica; cache IME local 926155596bb583065791a4ac4d39084c461462330c4263427b811e0d6362b0a8,.cache/fundonet-ime/926155596bb583065791a4ac4d39084c461462330c4263427b811e0d6362b0a8
Consignado Delta,CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,CONSIGNADO DELTA RECEIVABLES I,54.871.427/0001-94,05/2024,Vencidos Over 60 d / Crédito,0.0,ratio,Visão Executiva canônica; cache IME local 926155596bb583065791a4ac4d39084c461462330c4263427b811e0d6362b0a8,.cache/fundonet-ime/926155596bb583065791a4ac4d39084c461462330c4263427b811e0d6362b0a8
Consignado Delta,CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,CONSIGNADO DELTA RECEIVABLES I,54.871.427/0001-94,01/2025,Vencidos Over 60 d / Crédito,0.0,ratio,Visão Executiva canônica; cache IME local 926155596bb583065791a4ac4d39084c461462330c4263427b811e0d6362b0a8,.cache/fundonet-ime/926155596bb583065791a4ac4d39084c461462330c4263427b811e0d6362b0a8
Consignado Delta,CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,CONSIGNADO DELTA RECEIVABLES I,54.871.427/0001-94,03/2026,Vencidos Over 90 d / Crédito,9.155962319119418e-06,ratio,Visão Executiva canônica; cache IME local 926155596bb583065791a4ac4d39084c461462330c4263427b811e0d6362b0a8,.cache/fundonet-ime/926155596bb583065791a4ac4d39084c461462330c4263427b811e0d6362b0a8
Consignado Delta,CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,CONSIGNADO DELTA RECEIVABLES I,54.871.427/0001-94,09/2025,Vencidos Over 30 d / Crédito,0.0,ratio,Visão Executiva canônica; cache IME local 926155596bb583065791a4ac4d39084c461462330c4263427b811e0d6362b0a8,.cache/fundonet-ime/926155596bb583065791a4ac4d39084c461462330c4263427b811e0d6362b0a8
Consignado Delta,CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,CONSIGNADO DELTA RECEIVABLES I,54.871.427/0001-94,11/2025,Vencidos Over 30 d / Crédito,0.0,ratio,Visão Executiva canônica; cache IME local 926155596bb583065791a4ac4d39084c461462330c4263427b811e0d6362b0a8,.cache/fundonet-ime/926155596bb583065791a4ac4d39084c461462330c4263427b811e0d6362b0a8
Consignado Delta,CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,CONSIGNADO DELTA RECEIVABLES I,54.871.427/0001-94,03/2025,Vencidos > 90 d / Crédito,0.0,ratio,Visão Executiva canônica; cache IME local 926155596bb583065791a4ac4d39084c461462330c4263427b811e0d6362b0a8,.cache/fundonet-ime/926155596bb583065791a4ac4d39084c461462330c4263427b811e0d6362b0a8
Consignado Delta,CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,CONSIGNADO DELTA RECEIVABLES I,54.871.427/0001-94,02/2025,Vencidos > 90 d / Crédito,0.0,ratio,Visão Executiva canônica; cache IME local 926155596bb583065791a4ac4d39084c461462330c4263427b811e0d6362b0a8,.cache/fundonet-ime/926155596bb583065791a4ac4d39084c461462330c4263427b811e0d6362b0a8
Consignado Delta,CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,CONSIGNADO DELTA RECEIVABLES I,54.871.427/0001-94,01/2025,Vencidos > 90 d / Crédito,0.0,ratio,Visão Executiva canônica; cache IME local 926155596bb583065791a4ac4d39084c461462330c4263427b811e0d6362b0a8,.cache/fundonet-ime/926155596bb583065791a4ac4d39084c461462330c4263427b811e0d6362b0a8
Consignado Delta,CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,CONSIGNADO DELTA RECEIVABLES I,54.871.427/0001-94,12/2024,Vencidos > 90 d / Crédito,0.0,ratio,Visão Executiva canônica; cache IME local 926155596bb583065791a4ac4d39084c461462330c4263427b811e0d6362b0a8,.cache/fundonet-ime/926155596bb583065791a4ac4d39084c461462330c4263427b811e0d6362b0a8
Consignado Delta,CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,CONSIGNADO DELTA RECEIVABLES I,54.871.427/0001-94,11/2024,Vencidos > 90 d / Crédito,0.0,ratio,Visão Executiva canônica; cache IME local 926155596bb583065791a4ac4d39084c461462330c4263427b811e0d6362b0a8,.cache/fundonet-ime/926155596bb583065791a4ac4d39084c461462330c4263427b811e0d6362b0a8
Consignado Delta,CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,CONSIGNADO DELTA RECEIVABLES I,54.871.427/0001-94,10/2024,Vencidos > 90 d / Crédito,0.0,ratio,Visão Executiva canônica; cache IME local 926155596bb583065791a4ac4d39084c461462330c4263427b811e0d6362b0a8,.cache/fundonet-ime/926155596bb583065791a4ac4d39084c461462330c4263427b811e0d6362b0a8
Consignado Delta,CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,CONSIGNADO DELTA RECEIVABLES I,54.871.427/0001-94,09/2024,Vencidos > 90 d / Crédito,0.0,ratio,Visão Executiva canônica; cache IME local 926155596bb583065791a4ac4d39084c461462330c4263427b811e0d6362b0a8,.cache/fundonet-ime/926155596bb583065791a4ac4d39084c461462330c4263427b811e0d6362b0a8
Consignado Delta,CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,CONSIGNADO DELTA RECEIVABLES I,54.871.427/0001-94,08/2024,Vencidos > 90 d / Crédito,0.0,ratio,Visão Executiva canônica; cache IME local 926155596bb583065791a4ac4d39084c461462330c4263427b811e0d6362b0a8,.cache/fundonet-ime/926155596bb583065791a4ac4d39084c461462330c4263427b811e0d6362b0a8
Consignado Delta,CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,CONSIGNADO DELTA RECEIVABLES I,54.871.427/0001-94,07/2024,Vencidos > 90 d / Crédito,0.0,ratio,Visão Executiva canônica; cache IME local 926155596bb583065791a4ac4d39084c461462330c4263427b811e0d6362b0a8,.cache/fundonet-ime/926155596bb583065791a4ac4d39084c461462330c4263427b811e0d6362b0a8
Consignado Delta,CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,CONSIGNADO DELTA RECEIVABLES I,54.871.427/0001-94,06/2024,Vencidos > 90 d / Crédito,0.0,ratio,Visão Executiva canônica; cache IME local 926155596bb583065791a4ac4d39084c461462330c4263427b811e0d6362b0a8,.cache/fundonet-ime/926155596bb583065791a4ac4d39084c461462330c4263427b811e0d6362b0a8
Consignado Delta,CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,CONSIGNADO DELTA RECEIVABLES I,54.871.427/0001-94,05/2024,Vencidos > 90 d / Crédito,0.0,ratio,Visão Executiva canônica; cache IME local 926155596bb583065791a4ac4d39084c461462330c4263427b811e0d6362b0a8,.cache/fundonet-ime/926155596bb583065791a4ac4d39084c461462330c4263427b811e0d6362b0a8
Consignado Delta,CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,CONSIGNADO DELTA RECEIVABLES I,54.871.427/0001-94,03/2026,Vencidos Total / Crédito,2.06651540104846e-05,ratio,Visão Executiva canônica; cache IME local 926155596bb583065791a4ac4d39084c461462330c4263427b811e0d6362b0a8,.cache/fundonet-ime/926155596bb583065791a4ac4d39084c461462330c4263427b811e0d6362b0a8
Consignado Delta,CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,CONSIGNADO DELTA RECEIVABLES I,54.871.427/0001-94,02/2026,Vencidos Total / Crédito,1.5105031164992032e-05,ratio,Visão Executiva canônica; cache IME local 926155596bb583065791a4ac4d39084c461462330c4263427b811e0d6362b0a8,.cache/fundonet-ime/926155596bb583065791a4ac4d39084c461462330c4263427b811e0d6362b0a8
Consignado Delta,CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,CONSIGNADO DELTA RECEIVABLES I,54.871.427/0001-94,01/2026,Vencidos Total / Crédito,0.0,ratio,Visão Executiva canônica; cache IME local 926155596bb583065791a4ac4d39084c461462330c4263427b811e0d6362b0a8,.cache/fundonet-ime/926155596bb583065791a4ac4d39084c461462330c4263427b811e0d6362b0a8
Consignado Delta,CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,CONSIGNADO DELTA RECEIVABLES I,54.871.427/0001-94,12/2025,Vencidos Total / Crédito,0.00014974184974297732,ratio,Visão Executiva canônica; cache IME local 926155596bb583065791a4ac4d39084c461462330c4263427b811e0d6362b0a8,.cache/fundonet-ime/926155596bb583065791a4ac4d39084c461462330c4263427b811e0d6362b0a8
Consignado Delta,CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,CONSIGNADO DELTA RECEIVABLES I,54.871.427/0001-94,11/2025,Vencidos Total / Crédito,0.0,ratio,Visão Executiva canônica; cache IME local 926155596bb583065791a4ac4d39084c461462330c4263427b811e0d6362b0a8,.cache/fundonet-ime/926155596bb583065791a4ac4d39084c461462330c4263427b811e0d6362b0a8
Consignado Delta,CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,CONSIGNADO DELTA RECEIVABLES I,54.871.427/0001-94,10/2025,Vencidos Total / Crédito,0.0,ratio,Visão Executiva canônica; cache IME local 926155596bb583065791a4ac4d39084c461462330c4263427b811e0d6362b0a8,.cache/fundonet-ime/926155596bb583065791a4ac4d39084c461462330c4263427b811e0d6362b0a8
Consignado Delta,CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,CONSIGNADO DELTA RECEIVABLES I,54.871.427/0001-94,04/2025,Vencidos > 90 d / Crédito,0.0,ratio,Visão Executiva canônica; cache IME local 926155596bb583065791a4ac4d39084c461462330c4263427b811e0d6362b0a8,.cache/fundonet-ime/926155596bb583065791a4ac4d39084c461462330c4263427b811e0d6362b0a8
Consignado Delta,CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,CONSIGNADO DELTA RECEIVABLES I,54.871.427/0001-94,05/2025,Vencidos > 90 d / Crédito,0.0,ratio,Visão Executiva canônica; cache IME local 926155596bb583065791a4ac4d39084c461462330c4263427b811e0d6362b0a8,.cache/fundonet-ime/926155596bb583065791a4ac4d39084c461462330c4263427b811e0d6362b0a8
Consignado Delta,CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,CONSIGNADO DELTA RECEIVABLES I,54.871.427/0001-94,06/2025,Vencidos > 90 d / Crédito,0.0,ratio,Visão Executiva canônica; cache IME local 926155596bb583065791a4ac4d39084c461462330c4263427b811e0d6362b0a8,.cache/fundonet-ime/926155596bb583065791a4ac4d39084c461462330c4263427b811e0d6362b0a8
Consignado Delta,CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,CONSIGNADO DELTA RECEIVABLES I,54.871.427/0001-94,07/2025,Vencidos > 90 d / Crédito,0.0,ratio,Visão Executiva canônica; cache IME local 926155596bb583065791a4ac4d39084c461462330c4263427b811e0d6362b0a8,.cache/fundonet-ime/926155596bb583065791a4ac4d39084c461462330c4263427b811e0d6362b0a8
Consignado Delta,CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,CONSIGNADO DELTA RECEIVABLES I,54.871.427/0001-94,02/2025,Vencidos <= 90 d / Crédito,0.0,ratio,Visão Executiva canônica; cache IME local 926155596bb583065791a4ac4d39084c461462330c4263427b811e0d6362b0a8,.cache/fundonet-ime/926155596bb583065791a4ac4d39084c461462330c4263427b811e0d6362b0a8
Consignado Delta,CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,CONSIGNADO DELTA RECEIVABLES I,54.871.427/0001-94,01/2025,Vencidos <= 90 d / Crédito,0.0,ratio,Visão Executiva canônica; cache IME local 926155596bb583065791a4ac4d39084c461462330c4263427b811e0d6362b0a8,.cache/fundonet-ime/926155596bb583065791a4ac4d39084c461462330c4263427b811e0d6362b0a8
Consignado Delta,CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,CONSIGNADO DELTA RECEIVABLES I,54.871.427/0001-94,12/2024,Vencidos <= 90 d / Crédito,0.0,ratio,Visão Executiva canônica; cache IME local 926155596bb583065791a4ac4d39084c461462330c4263427b811e0d6362b0a8,.cache/fundonet-ime/926155596bb583065791a4ac4d39084c461462330c4263427b811e0d6362b0a8
Consignado Delta,CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,CONSIGNADO DELTA RECEIVABLES I,54.871.427/0001-94,11/2024,Vencidos <= 90 d / Crédito,0.0,ratio,Visão Executiva canônica; cache IME local 926155596bb583065791a4ac4d39084c461462330c4263427b811e0d6362b0a8,.cache/fundonet-ime/926155596bb583065791a4ac4d39084c461462330c4263427b811e0d6362b0a8
Consignado Delta,CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,CONSIGNADO DELTA RECEIVABLES I,54.871.427/0001-94,10/2024,Vencidos <= 90 d / Crédito,6.088266352759505e-06,ratio,Visão Executiva canônica; cache IME local 926155596bb583065791a4ac4d39084c461462330c4263427b811e0d6362b0a8,.cache/fundonet-ime/926155596bb583065791a4ac4d39084c461462330c4263427b811e0d6362b0a8
Consignado Delta,CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,CONSIGNADO DELTA RECEIVABLES I,54.871.427/0001-94,09/2024,Vencidos <= 90 d / Crédito,0.0,ratio,Visão Executiva canônica; cache IME local 926155596bb583065791a4ac4d39084c461462330c4263427b811e0d6362b0a8,.cache/fundonet-ime/926155596bb583065791a4ac4d39084c461462330c4263427b811e0d6362b0a8
